           time           x_01           y_01           x_02           y_02           x_03           y_03           x_04           y_04           x_05           y_05           x_06           y_06           x_07           y_07           x_08           y_08
    3.27148E-01    5.71273E-03   -7.73634E-03   -2.17064E-01    1.22871E-01    3.63282E-01   -6.49403E-01    4.39918E-01   -6.10545E-01    1.22018E-01    6.41746E-01    1.58539E-02    2.09808E-01   -9.85062E-01    9.25058E-02    2.21238E-01    3.99023E-01
    3.32031E-01    4.29111E-03   -7.28977E-03   -2.23648E-01    1.38097E-01    3.57453E-01   -6.80738E-01    4.71768E-01   -5.89977E-01    1.34908E-01    6.36957E-01    1.68008E-02    2.19726E-01   -1.00078E+00    1.22190E-01    2.08862E-01    4.35000E-01
    3.36914E-01    5.96266E-04   -4.53363E-03   -2.08128E-01    1.28247E-01    3.57836E-01   -6.16104E-01    4.02054E-01   -6.07471E-01    1.21737E-01    6.29016E-01    1.39829E-02    1.78465E-01   -9.52505E-01    7.35308E-02    2.22902E-01    3.82539E-01
    3.41797E-01   -5.14681E-03    2.64380E-04   -1.73457E-01    9.70137E-02    3.63318E-01   -4.68513E-01    2.44567E-01   -6.57286E-01    8.62273E-02    6.17938E-01    7.90242E-03    9.27331E-02   -8.48545E-01   -4.25578E-02    2.59510E-01    2.53974E-01
    3.46680E-01   -1.24407E-02    6.49640E-03   -1.26484E-01    5.30610E-02    3.71272E-01   -2.68193E-01    3.13276E-02   -7.25999E-01    3.70817E-02    6.03688E-01   -2.77852E-04   -2.19633E-02   -7.08141E-01   -2.00676E-01    3.09703E-01    7.80322E-02
    3.51562E-01   -2.06134E-02    1.33385E-02   -7.65195E-02    8.17409E-03    3.78121E-01   -5.62248E-02   -1.94146E-01   -7.95349E-01   -1.38664E-02    5.86210E-01   -8.97786E-03   -1.44562E-01   -5.57439E-01   -3.66294E-01    3.61268E-01   -1.06226E-01
    3.56445E-01   -2.89508E-02    1.99189E-02   -3.33753E-02   -2.52458E-02    3.80107E-01    1.24095E-01   -3.85989E-01   -8.46120E-01   -5.41578E-02    5.65463E-01   -1.65317E-02   -2.52850E-01   -4.24008E-01   -5.03039E-01    4.01344E-01   -2.57658E-01
    3.61328E-01   -3.68363E-02    2.54962E-02   -5.30696E-03   -3.68249E-02    3.74102E-01    2.36365E-01   -5.05634E-01   -8.62220E-01   -7.33502E-02    5.41461E-01   -2.15369E-02   -3.28099E-01   -3.31068E-01   -5.80359E-01    4.19150E-01   -3.41728E-01
    3.66211E-01   -4.38692E-02    2.96081E-02    2.71969E-03   -2.04369E-02    3.58288E-01    2.58734E-01   -5.29913E-01   -8.34120E-01   -6.52385E-02    5.14303E-01   -2.31475E-02   -3.58974E-01   -2.92641E-01   -5.79982E-01    4.08272E-01   -3.37806E-01
    3.71094E-01   -4.99349E-02    3.21611E-02   -9.93334E-03    2.44666E-02    3.32564E-01    1.88487E-01   -4.55912E-01   -7.60903E-01   -2.91848E-02    4.84193E-01   -2.12501E-02   -3.43866E-01   -3.10640E-01   -4.99771E-01    3.68037E-01   -2.43548E-01
